Year,Municipio,Nacionalidad,GeoCode,Value
2020,Algatocín,,A29006,6.76
2020,Alhaurín de la Torre,,A29007,8.22
2020,Alhaurín el Grande,,A29008,22.26
2020,Almáchar,,A29009,5.61
2020,Almargen,,A29010,2.47
2020,Almogía,,A29011,8.7
2020,Álora,,A29012,10.99
2020,Alozaina,,A29013,10.48
2020,Alpandeire,,A29014,6.84
2020,Antequera,,A29015,5.03
2020,Árchez,,A29016,26.75
2020,Archidona,,A29017,7.13
2020,Ardales,,A29018,4.15
2020,Arenas,,A29019,13.76
2020,Arriate,,A29020,2.52
2020,Atajate,,A29021,4.73
2020,Benadalid,,A29022,10.3
2020,Benahavís,,A29023,60.8
2020,Benalauría,,A29024,4.34
2020,Benalmádena,,A29025,24.31
2020,Benamargosa,,A29026,24.04
2020,Benamocarra,,A29027,4.92
2020,Benaoján,,A29028,3.3
2020,Benarrabá,,A29029,4.04
2020,"Borge, El",,A29030,3.47
2020,"Burgo, El",,A29031,2.01
2020,Campillos,,A29032,3.99
2020,Canillas de Aceituno,,A29033,24.7
2020,Canillas de Albaida,,A29034,30.43
2020,Cañete la Real,,A29035,1.9
2020,Carratraca,,A29036,5.95
2020,Cartajima,,A29037,7.85
2020,Cártama,,A29038,6.59
2020,Casabermeja,,A29039,8.65
2020,Casarabonela,,A29040,10.02
2020,Casares,,A29041,29.8
2020,Coín,,A29042,17.41
2020,Colmenar,,A29043,12.26
2020,Comares,,A29044,37.29
2020,Cómpeta,,A29045,48.05
2020,Cortes de la Frontera,,A29046,5.61
2020,Cuevas Bajas,,A29047,3.94
2020,Cuevas del Becerro,,A29048,1.94
2020,Cuevas de San Marcos,,A29049,6.08
2020,Cútar,,A29050,29.38
2020,Estepona,,A29051,23.47
2020,Faraján,,A29052,7.66
2020,Frigiliana,,A29053,30.01
2020,Fuengirola,,A29054,37.45
2020,Fuente de Piedra,,A29055,12.02
2020,Gaucín,,A29056,19.76
2020,Genalguacil,,A29057,10.43
2020,Guaro,,A29058,19.21
2020,Humilladero,,A29059,2.55
2020,Igualeja,,A29060,0.53
2020,Istán,,A29061,17.14
2020,Iznate,,A29062,9.7
2020,Jimera de Líbar,,A29063,8.18
2020,Jubrique,,A29064,6.69
2020,Júzcar,,A29065,7.01
2020,Macharaviaya,,A29066,15.2
2020,Málaga,,A29067,8.66
2020,Manilva,,A29068,37.94
2020,Marbella,,A29069,26.21
2020,Mijas,,A29070,32.38
2020,Moclinejo,,A29071,5.68
2020,Mollina,,A29072,22.12
2020,Monda,,A29073,21.25
2020,Montejaque,,A29074,5.58
2020,Nerja,,A29075,26.02
2020,Ojén,,A29076,23.06
2020,Parauta,,A29077,2.51
2020,Periana,,A29079,10.29
2020,Pizarra,,A29080,6.62
2020,Pujerra,,A29081,11.69
2020,Rincón de la Victoria,,A29082,7.41
2020,Riogordo,,A29083,12.67
2020,Ronda,,A29084,3.35
2020,Salares,,A29085,8.09
2020,Sayalonga,,A29086,42.09
2020,Sedella,,A29087,32.81
2020,Sierra de Yeguas,,A29088,2.53
2020,Teba,,A29089,1.92
2020,Tolox,,A29090,9.36
2020,Torrox,,A29091,34.5
2020,Totalán,,A29092,6.78
2020,Valle de Abdalajís,,A29093,2.56
2020,Vélez-Málaga,,A29094,9.57
2020,Villanueva de Algaidas,,A29095,5.5
2020,Villanueva del Rosario,,A29096,3.3
2020,Villanueva del Trabuco,,A29097,5.5
2020,Villanueva de Tapia,,A29098,4.11
2020,Viñuela,,A29099,42.68
2020,Yunquera,,A29100,3.9
2020,Torremolinos,,A29901,20.41
2020,Villanueva de la Concepción,,A29902,4.68
2020,Montecorto,,A29903,5.29
2020,Serrato,,A29904,3.53
2020,Aguadulce,,A41001,6.24
2020,Alanís,,A41002,2.34
2020,Albaida del Aljarafe,,A41003,2.37
2020,Alcalá de Guadaíra,,A41004,2.12
2020,Alcalá del Río,,A41005,2.17
2020,Alcolea del Río,,A41006,0.72
2020,"Algaba, La",,A41007,3.58
2020,Algámitas,,A41008,1.6
2020,Almadén de la Plata,,A41009,1.38
2020,Almensilla,,A41010,2.23
2020,Arahal,,A41011,1.01
2020,Aznalcázar,,A41012,7.04
2020,Aznalcóllar,,A41013,2.14
2020,Badolatosa,,A41014,1.33
2020,Benacazón,,A41015,2.15
2020,Bollullos de la Mitación,,A41016,4.08
2020,Bormujos,,A41017,3.53
2020,Brenes,,A41018,6.17
2020,Burguillos,,A41019,4.23
2020,"Cabezas de San Juan, Las",,A41020,1.27
2020,Camas,,A41021,4.43
2020,"Campana, La",,A41022,2.29
2020,Cantillana,,A41023,7.82
2020,Carmona,,A41024,2.96
2020,Carrión de los Céspedes,,A41025,3.61
2020,Casariche,,A41026,3.57
2020,Castilblanco de los Arroyos,,A41027,2.82
2020,Castilleja de Guzmán,,A41028,1.66
2020,Castilleja de la Cuesta,,A41029,4.61
2020,Castilleja del Campo,,A41030,6.88
2020,"Castillo de las Guardas, El",,A41031,4.84
2020,Cazalla de la Sierra,,A41032,1.75
2020,Constantina,,A41033,1.55
2020,Coria del Río,,A41034,3.76
2020,Coripe,,A41035,1.21
2020,"Coronil, El",,A41036,2.14
2020,"Corrales, Los",,A41037,2.41
2020,Dos Hermanas,,A41038,2.49
2020,Écija,,A41039,2.18
2020,Espartinas,,A41040,4.18
