Value,Disaggregation combinations using this value,Number of indicators
Sevilla,4,4
Sierra de Yeguas,4,4
Sierro,4,4
Siles,4,4
Somontín,4,4
Soportújar,4,4
Sorbas,4,4
Sorihuela del Guadalimar,4,4
Sorvilán,4,4
Suflí,4,4
Tabernas,4,4
Taberno,4,4
"Taha, La",4,4
Tahal,4,4
Tarifa,4,4
Teba,4,4
Terque,4,4
Tíjola,4,4
Tocina,4,4
Tolox,4,4
Tomares,4,4
Torre Alháquime,4,4
Torre-Cardela,4,4
Torreblascopedro,4,4
Torrecampo,4,4
Torredelcampo,4,4
Torredonjimeno,4,4
Torremolinos,4,4
Torrenueva Costa,4,4
Torreperogil,4,4
Torres de Albánchez,4,4
Torres,4,4
Torrox,4,4
Torvizcón,4,4
Totalán,4,4
Trebujena,4,4
"Tres Villas, Las",4,4
Trevélez,4,4
Trigueros,4,4
Turón,4,4
Turre,4,4
Turrillas,4,4
Úbeda,4,4
Ubrique,4,4
Ugíjar,4,4
Uleila del Campo,4,4
Umbrete,4,4
Urrácal,4,4
Utrera,4,4
Valdelarco,4,4
Valdepeñas de Jaén,4,4
Valderrubio,4,4
Valencina de la Concepción,4,4
Valenzuela,4,4
Valle de Abdalajís,4,4
Valle del Zalabí,4,4
"Valle, El",4,4
Válor,4,4
Valsequillo,4,4
Valverde del Camino,4,4
Vegas del Genil,4,4
Vejer de la Frontera,4,4
Velefique,4,4
Vélez-Blanco,4,4
Vélez de Benaudalla,4,4
Vélez-Málaga,4,4
Vélez-Rubio,4,4
Ventas de Huelma,4,4
Vera,4,4
Viator,4,4
Vícar,4,4
"Victoria, La",4,4
Vilches,4,4
Villa de Otura,4,4
Villa del Río,4,4
Villablanca,4,4
Villacarrillo,4,4
Villafranca de Córdoba,4,4
Villaharta,4,4
Villalba del Alcor,4,4
Villaluenga del Rosario,4,4
Villamanrique de la Condesa,4,4
Villamartín,4,4
Villamena,4,4
Villanueva de Algaidas,4,4
Villanueva de Córdoba,4,4
Villanueva de la Concepción,4,4
Villanueva de la Reina,4,4
Villanueva de las Cruces,4,4
Villanueva de las Torres,4,4
Villanueva de los Castillejos,4,4
Villanueva de San Juan,4,4
Villanueva de Tapia,4,4
Villanueva del Ariscal,4,4
Villanueva del Arzobispo,4,4
Villanueva del Duque,4,4
Villanueva del Rey,4,4
Villanueva del Río y Minas,4,4
Villanueva del Rosario,4,4
Villanueva del Trabuco,4,4
Villanueva Mesía,4,4
Villaralto,4,4
Villardompardo,4,4
"Villares, Los",4,4
Villarrasa,4,4
Villarrodrigo,4,4
Villatorres,4,4
Villaverde del Río,4,4
Villaviciosa de Córdoba,4,4
Viñuela,4,4
"Viso del Alcor, El",4,4
"Viso, El",4,4
Víznar,4,4
Yunquera,4,4
Zafarraya,4,4
Zagra,4,4
Zahara,4,4
Zalamea la Real,4,4
"Zarza-Perrunal, La",4,4
"Zubia, La",4,4
Zufre,4,4
Zuheros,4,4
Zújar,4,4
Zurgena,4,4
