"Year","Units","Grado urbanización","Municipio","Nacionalidad","GeoCode","Value"
2020,"Indicador 1","Zona rural","Villafranca de Córdoba","América del Sur","A14067",0.21
2020,"Indicador 1","Zona rural","Villaharta","América del Sur","A14068",0.64
2020,"Indicador 1","Zona de densidad intermedia","Villanueva de Córdoba","América del Sur","A14069",0.09
2020,"Indicador 1","Zona rural","Villanueva del Duque","América del Sur","A14070",0.41
2020,"Indicador 1","Zona rural","Villanueva del Rey","América del Sur","A14071",0.39
2020,"Indicador 1","Zona rural","Villaralto","América del Sur","A14072",0.36
2020,"Indicador 1","Zona rural","Villaviciosa de Córdoba","América del Sur","A14073",0.44
2020,"Indicador 1","Zona rural","Viso, El","América del Sur","A14074",0.28
2020,"Indicador 1","Zona rural","Zuheros","América del Sur","A14075",0.31
2020,"Indicador 1","Zona rural","Fuente Carreteros","América del Sur","A14901",0.17
2020,"Indicador 1","Zona rural","Guijarrosa, La","América del Sur","A14902",0.44
2020,"Indicador 1","Zona rural","Agrón","América del Sur","A18001",0
2020,"Indicador 1","Zona rural","Alamedilla","América del Sur","A18002",0
2020,"Indicador 1","Zona de densidad intermedia","Albolote","América del Sur","A18003",0.81
2020,"Indicador 1","Zona rural","Albondón","América del Sur","A18004",0.84
2020,"Indicador 1","Zona rural","Albuñán","América del Sur","A18005",0
2020,"Indicador 1","Zona rural","Albuñol","América del Sur","A18006",0.24
2020,"Indicador 1","Zona rural","Albuñuelas","América del Sur","A18007",0.62
2020,"Indicador 1","Zona rural","Aldeire","América del Sur","A18010",1.27
2020,"Indicador 1","Zona de densidad intermedia","Alfacar","América del Sur","A18011",0.84
2020,"Indicador 1","Zona rural","Algarinejo","América del Sur","A18012",0.32
2020,"Indicador 1","Zona rural","Alhama de Granada","América del Sur","A18013",1.7
2020,"Indicador 1","Zona de densidad intermedia","Alhendín","América del Sur","A18014",1.3
2020,"Indicador 1","Zona rural","Alicún de Ortega","América del Sur","A18015",0
2020,"Indicador 1","Zona rural","Almegíjar","América del Sur","A18016",0.3
2020,"Indicador 1","Zona de densidad intermedia","Almuñécar","América del Sur","A18017",1.18
2020,"Indicador 1","Zona rural","Alquife","América del Sur","A18018",0.52
2020,"Indicador 1","Zona rural","Arenas del Rey","América del Sur","A18020",1.84
2020,"Indicador 1","Ciudades","Armilla","América del Sur","A18021",2.17
2020,"Indicador 1","Zona de densidad intermedia","Atarfe","América del Sur","A18022",1.11
2020,"Indicador 1","Zona de densidad intermedia","Baza","América del Sur","A18023",0.74
2020,"Indicador 1","Zona rural","Beas de Granada","América del Sur","A18024",0.2
2020,"Indicador 1","Zona rural","Beas de Guadix","América del Sur","A18025",0.3
2020,"Indicador 1","Zona rural","Benalúa","América del Sur","A18027",0.3
2020,"Indicador 1","Zona rural","Benalúa de las Villas","América del Sur","A18028",0
2020,"Indicador 1","Zona rural","Benamaurel","América del Sur","A18029",0.66
2020,"Indicador 1","Zona rural","Bérchules","América del Sur","A18030",0.14
2020,"Indicador 1","Zona rural","Bubión","América del Sur","A18032",0.67
2020,"Indicador 1","Zona rural","Busquístar","América del Sur","A18033",0.72
2020,"Indicador 1","Zona rural","Cacín","América del Sur","A18034",0.35
2020,"Indicador 1","Zona rural","Cádiar","América del Sur","A18035",0.27
2020,"Indicador 1","Ciudades","Cájar","América del Sur","A18036",0.77
2020,"Indicador 1","Zona rural","Calicasas","América del Sur","A18037",0.63
2020,"Indicador 1","Zona rural","Campotéjar","América del Sur","A18038",0.08
2020,"Indicador 1","Zona rural","Caniles","América del Sur","A18039",0.2
2020,"Indicador 1","Zona rural","Cáñar","América del Sur","A18040",1.59
2020,"Indicador 1","Zona rural","Capileira","América del Sur","A18042",0.53
2020,"Indicador 1","Zona rural","Carataunas","América del Sur","A18043",1.99
2020,"Indicador 1","Zona rural","Cástaras","América del Sur","A18044",0
2020,"Indicador 1","Zona rural","Castilléjar","América del Sur","A18045",0.38
2020,"Indicador 1","Zona rural","Castril","América del Sur","A18046",0.35
2020,"Indicador 1","Zona de densidad intermedia","Cenes de la Vega","América del Sur","A18047",1.79
2020,"Indicador 1","Zona rural","Cijuela","América del Sur","A18048",1.05
2020,"Indicador 1","Zona rural","Cogollos de Guadix","América del Sur","A18049",0.62
2020,"Indicador 1","Zona de densidad intermedia","Cogollos de la Vega","América del Sur","A18050",0.45
2020,"Indicador 1","Zona rural","Colomera","América del Sur","A18051",0
2020,"Indicador 1","Zona rural","Cortes de Baza","América del Sur","A18053",0
2020,"Indicador 1","Zona rural","Cortes y Graena","América del Sur","A18054",0.31
2020,"Indicador 1","Zona rural","Cúllar","América del Sur","A18056",0.22
2020,"Indicador 1","Zona de densidad intermedia","Cúllar Vega","América del Sur","A18057",1.17
2020,"Indicador 1","Zona de densidad intermedia","Chauchina","América del Sur","A18059",1.01
2020,"Indicador 1","Zona rural","Chimeneas","América del Sur","A18061",0
2020,"Indicador 1","Ciudades","Churriana de la Vega","América del Sur","A18062",2.25
2020,"Indicador 1","Zona rural","Darro","América del Sur","A18063",0.12
2020,"Indicador 1","Zona rural","Dehesas de Guadix","América del Sur","A18064",0.71
2020,"Indicador 1","Zona rural","Dehesas Viejas","América del Sur","A18065",0.29
2020,"Indicador 1","Zona rural","Deifontes","América del Sur","A18066",0.23
2020,"Indicador 1","Zona rural","Diezma","América del Sur","A18067",0.39
2020,"Indicador 1","Zona rural","Dílar","América del Sur","A18068",0.81
2020,"Indicador 1","Zona rural","Dólar","América del Sur","A18069",2.87
2020,"Indicador 1","Zona rural","Dúdar","América del Sur","A18070",0
2020,"Indicador 1","Zona de densidad intermedia","Dúrcal","América del Sur","A18071",0.51
2020,"Indicador 1","Zona rural","Escúzar","América del Sur","A18072",0.13
2020,"Indicador 1","Zona rural","Ferreira","América del Sur","A18074",0.33
2020,"Indicador 1","Zona rural","Fonelas","América del Sur","A18076",0.1
2020,"Indicador 1","Zona rural","Fornes","América del Sur","A18077",3.6
2020,"Indicador 1","Zona rural","Freila","América del Sur","A18078",0.11
2020,"Indicador 1","Zona de densidad intermedia","Fuente Vaqueros","América del Sur","A18079",2.97
2020,"Indicador 1","Zona rural","Galera","América del Sur","A18082",0.28
2020,"Indicador 1","Zona rural","Gobernador","América del Sur","A18083",0
2020,"Indicador 1","Ciudades","Gójar","América del Sur","A18084",0.85
2020,"Indicador 1","Zona rural","Gor","América del Sur","A18085",0
2020,"Indicador 1","Zona rural","Gorafe","América del Sur","A18086",0
2020,"Indicador 1","Ciudades","Granada","América del Sur","A18087",1.62
