"Year","Grado urbanización","Municipio","GeoCode","Value"
2020,"Zona rural","Hornos","23043",1.01
2020,"Zona de densidad intermedia","Huelma","23044",1.88
2020,"Zona rural","Huesa","23045",1.73
2020,"Zona rural","Ibros","23046",3.61
2020,"Zona rural","Iruela, La","23047",3.14
2020,"Zona rural","Iznatoraf","23048",2.12
2020,"Zona rural","Jabalquinto","23049",0.84
2020,"Ciudades","Jaén","23050",2.45
2020,"Zona de densidad intermedia","Jamilena","23051",0.86
2020,"Zona rural","Jimena","23052",1.65
2020,"Zona de densidad intermedia","Jódar","23053",0.7
2020,"Zona rural","Larva","23054",1.9
2020,"Ciudades","Linares","23055",2.75
2020,"Zona rural","Lopera","23056",1.56
2020,"Zona rural","Lupión","23057",1.22
2020,"Zona de densidad intermedia","Mancha Real","23058",2.81
2020,"Zona de densidad intermedia","Marmolejo","23059",1.23
2020,"Zona de densidad intermedia","Martos","23060",4.21
2020,"Zona de densidad intermedia","Mengíbar","23061",1.79
2020,"Zona rural","Montizón","23062",3.97
2020,"Zona rural","Navas de San Juan","23063",0.91
2020,"Zona rural","Noalejo","23064",3
2020,"Zona rural","Orcera","23065",3.02
2020,"Zona de densidad intermedia","Peal de Becerro","23066",3.36
2020,"Zona rural","Pegalajar","23067",1.36
2020,"Zona de densidad intermedia","Porcuna","23069",2.88
2020,"Zona rural","Pozo Alcón","23070",5.18
2020,"Zona rural","Puente de Génave","23071",4.54
2020,"Zona rural","Puerta de Segura, La","23072",3.09
2020,"Zona rural","Quesada","23073",2.56
2020,"Zona de densidad intermedia","Rus","23074",1.33
2020,"Zona rural","Sabiote","23075",0.75
2020,"Zona rural","Santa Elena","23076",1.01
2020,"Zona rural","Santiago de Calatrava","23077",4.15
2020,"Zona rural","Santisteban del Puerto","23079",2.94
2020,"Zona rural","Santo Tomé","23080",4.98
2020,"Zona rural","Segura de la Sierra","23081",3.99
2020,"Zona rural","Siles","23082",2.61
2020,"Zona rural","Sorihuela del Guadalimar","23084",6.28
2020,"Zona rural","Torreblascopedro","23085",0.68
2020,"Zona de densidad intermedia","Torredelcampo","23086",2.11
2020,"Zona de densidad intermedia","Torredonjimeno","23087",1.9
2020,"Zona de densidad intermedia","Torreperogil","23088",1.5
2020,"Zona rural","Torres","23090",2.84
2020,"Zona rural","Torres de Albánchez","23091",1.17
2020,"Zona de densidad intermedia","Úbeda","23092",2.61
2020,"Zona rural","Valdepeñas de Jaén","23093",2.58
2020,"Zona rural","Vilches","23094",2.11
2020,"Zona de densidad intermedia","Villacarrillo","23095",4.48
2020,"Zona rural","Villanueva de la Reina","23096",2.86
2020,"Zona de densidad intermedia","Villanueva del Arzobispo","23097",6.03
2020,"Zona rural","Villardompardo","23098",3
2020,"Zona de densidad intermedia","Villares, Los","23099",1.31
2020,"Zona rural","Villarrodrigo","23101",4.86
2020,"Zona rural","Cárcheles","23901",3.08
2020,"Zona rural","Bedmar y Garcíez","23902",0.95
2020,"Zona rural","Villatorres","23903",2.93
2020,"Zona rural","Santiago-Pontones","23904",1.89
2020,"Zona rural","Arroyo del Ojanco","23905",6.65
2020,"Zona de densidad intermedia","Alameda","29001",4.72
2020,"Zona rural","Alcaucín","29002",40.15
2020,"Zona rural","Alfarnate","29003",3.94
2020,"Zona rural","Alfarnatejo","29004",12.64
2020,"Zona de densidad intermedia","Algarrobo","29005",14.52
2020,"Zona rural","Algatocín","29006",6.76
2020,"Zona de densidad intermedia","Alhaurín de la Torre","29007",8.22
2020,"Zona de densidad intermedia","Alhaurín el Grande","29008",22.26
2020,"Zona rural","Almáchar","29009",5.61
2020,"Zona rural","Almargen","29010",2.47
2020,"Zona rural","Almogía","29011",8.7
2020,"Zona de densidad intermedia","Álora","29012",10.99
2020,"Zona rural","Alozaina","29013",10.48
2020,"Zona rural","Alpandeire","29014",6.84
2020,"Zona de densidad intermedia","Antequera","29015",5.03
2020,"Zona rural","Árchez","29016",26.75
2020,"Zona de densidad intermedia","Archidona","29017",7.13
2020,"Zona rural","Ardales","29018",4.15
2020,"Zona rural","Arenas","29019",13.76
2020,"Zona rural","Arriate","29020",2.52
2020,"Zona rural","Atajate","29021",4.73
2020,"Zona rural","Benadalid","29022",10.3
2020,"Zona rural","Benahavís","29023",60.8
2020,"Zona rural","Benalauría","29024",4.34
2020,"Ciudades","Benalmádena","29025",24.31
2020,"Zona rural","Benamargosa","29026",24.04
2020,"Zona rural","Benamocarra","29027",4.92
2020,"Zona rural","Benaoján","29028",3.3
2020,"Zona rural","Benarrabá","29029",4.04
2020,"Zona rural","Borge, El","29030",3.47
2020,"Zona rural","Burgo, El","29031",2.01
2020,"Zona de densidad intermedia","Campillos","29032",3.99
2020,"Zona rural","Canillas de Aceituno","29033",24.7
2020,"Zona rural","Canillas de Albaida","29034",30.43
2020,"Zona rural","Cañete la Real","29035",1.9
2020,"Zona rural","Carratraca","29036",5.95
2020,"Zona rural","Cartajima","29037",7.85
2020,"Zona de densidad intermedia","Cártama","29038",6.59
2020,"Zona rural","Casabermeja","29039",8.65
2020,"Zona rural","Casarabonela","29040",10.02
2020,"Zona rural","Casares","29041",29.8
2020,"Zona de densidad intermedia","Coín","29042",17.41
2020,"Zona rural","Colmenar","29043",12.26
2020,"Zona rural","Comares","29044",37.29
2020,"Zona rural","Cómpeta","29045",48.05
2020,"Zona rural","Cortes de la Frontera","29046",5.61
2020,"Zona rural","Cuevas Bajas","29047",3.94
2020,"Zona rural","Cuevas del Becerro","29048",1.94
2020,"Zona rural","Cuevas de San Marcos","29049",6.08
2020,"Zona rural","Cútar","29050",29.38
2020,"Zona de densidad intermedia","Estepona","29051",23.47
2020,"Zona rural","Faraján","29052",7.66
2020,"Zona rural","Frigiliana","29053",30.01
2020,"Ciudades","Fuengirola","29054",37.45
2020,"Zona rural","Fuente de Piedra","29055",12.02
2020,"Zona rural","Gaucín","29056",19.76
2020,"Zona rural","Genalguacil","29057",10.43
2020,"Zona rural","Guaro","29058",19.21
2020,"Zona rural","Humilladero","29059",2.55
2020,"Zona rural","Igualeja","29060",0.53
2020,"Zona rural","Istán","29061",17.14
2020,"Zona rural","Iznate","29062",9.7
2020,"Zona rural","Jimera de Líbar","29063",8.18
2020,"Zona rural","Jubrique","29064",6.69
2020,"Zona rural","Júzcar","29065",7.01
2020,"Zona rural","Macharaviaya","29066",15.2
2020,"Ciudades","Málaga","29067",8.66
2020,"Zona de densidad intermedia","Manilva","29068",37.94
2020,"Zona de densidad intermedia","Marbella","29069",26.21
2020,"Ciudades","Mijas","29070",32.38
2020,"Zona rural","Moclinejo","29071",5.68
2020,"Zona rural","Mollina","29072",22.12
2020,"Zona rural","Monda","29073",21.25
2020,"Zona rural","Montejaque","29074",5.58
2020,"Zona de densidad intermedia","Nerja","29075",26.02
2020,"Zona rural","Ojén","29076",23.06
2020,"Zona rural","Parauta","29077",2.51
2020,"Zona rural","Periana","29079",10.29
2020,"Zona de densidad intermedia","Pizarra","29080",6.62
2020,"Zona rural","Pujerra","29081",11.69
2020,"Zona de densidad intermedia","Rincón de la Victoria","29082",7.41
2020,"Zona rural","Riogordo","29083",12.67
2020,"Zona de densidad intermedia","Ronda","29084",3.35
2020,"Zona rural","Salares","29085",8.09
2020,"Zona rural","Sayalonga","29086",42.09
2020,"Zona rural","Sedella","29087",32.81
2020,"Zona rural","Sierra de Yeguas","29088",2.53
2020,"Zona rural","Teba","29089",1.92
2020,"Zona rural","Tolox","29090",9.36
2020,"Zona de densidad intermedia","Torrox","29091",34.5
2020,"Zona rural","Totalán","29092",6.78
2020,"Zona rural","Valle de Abdalajís","29093",2.56
2020,"Zona de densidad intermedia","Vélez-Málaga","29094",9.57
2020,"Zona rural","Villanueva de Algaidas","29095",5.5
2020,"Zona rural","Villanueva del Rosario","29096",3.3
2020,"Zona rural","Villanueva del Trabuco","29097",5.5
2020,"Zona rural","Villanueva de Tapia","29098",4.11
2020,"Zona rural","Viñuela","29099",42.68
2020,"Zona rural","Yunquera","29100",3.9
2020,"Ciudades","Torremolinos","29901",20.41
2020,"Zona rural","Villanueva de la Concepción","29902",4.68
2020,"Zona rural","Montecorto","29903",5.29
2020,"Zona rural","Serrato","29904",3.53
2020,"Zona rural","Aguadulce","41001",6.24
2020,"Zona rural","Alanís","41002",2.34
