Year,Nacionalidad,Grado urbanización,Municipio,GeoCode,Value
2020,UE15,Zona rural,Salar,A18171,1.03
2020,UE15,Zona de densidad intermedia,Salobreña,A18173,6.07
2020,UE15,Zona rural,Santa Cruz del Comercio,A18174,5.46
2020,UE15,Zona de densidad intermedia,Santa Fe,A18175,0.36
2020,UE15,Zona rural,Soportújar,A18176,3.79
2020,UE15,Zona rural,Sorvilán,A18177,3.04
2020,UE15,Zona rural,Torre-Cardela,A18178,0.0
2020,UE15,Zona rural,Torvizcón,A18179,10.08
2020,UE15,Zona rural,Trevélez,A18180,1.22
2020,UE15,Zona rural,Turón,A18181,10.78
2020,UE15,Zona rural,Ugíjar,A18182,1.75
2020,UE15,Zona rural,Válor,A18183,2.95
2020,UE15,Zona rural,Vélez de Benaudalla,A18184,4.46
2020,UE15,Zona rural,Ventas de Huelma,A18185,0.76
2020,UE15,Zona rural,Villanueva de las Torres,A18187,0.53
2020,UE15,Zona rural,Villanueva Mesía,A18188,0.4
2020,UE15,Zona de densidad intermedia,Víznar,A18189,0.81
2020,UE15,Zona rural,Zafarraya,A18192,0.24
2020,UE15,Ciudades,"Zubia, La",A18193,0.98
2020,UE15,Zona rural,Zújar,A18194,1.77
2020,UE15,Zona rural,"Taha, La",A18901,15.67
2020,UE15,Zona rural,"Valle, El",A18902,6.17
2020,UE15,Zona rural,Nevada,A18903,3.45
2020,UE15,Zona rural,Alpujarra de la Sierra,A18904,4.85
2020,UE15,Ciudades,"Gabias, Las",A18905,0.63
2020,UE15,Zona rural,"Guájares, Los",A18906,2.47
2020,UE15,Zona rural,Valle del Zalabí,A18907,0.1
2020,UE15,Zona de densidad intermedia,Villamena,A18908,2.57
2020,UE15,Zona rural,Morelábor,A18909,0.17
2020,UE15,Zona rural,"Pinar, El",A18910,6.71
2020,UE15,Zona de densidad intermedia,Vegas del Genil,A18911,0.55
2020,UE15,Zona rural,Cuevas del Campo,A18912,2.98
2020,UE15,Zona rural,Zagra,A18913,0.34
2020,UE15,Zona rural,Valderrubio,A18914,0.0
2020,UE15,Zona rural,Domingo Pérez de Granada,A18915,0.46
2020,UE15,Zona rural,Torrenueva Costa,A18916,1.18
2020,UE15,Zona rural,Alájar,A21001,3.95
2020,UE15,Zona de densidad intermedia,Aljaraque,A21002,0.76
2020,UE15,Zona rural,"Almendro, El",A21003,1.43
2020,UE15,Zona rural,Almonaster la Real,A21004,0.78
2020,UE15,Zona de densidad intermedia,Almonte,A21005,0.42
2020,UE15,Zona rural,Alosno,A21006,0.2
2020,UE15,Zona de densidad intermedia,Aracena,A21007,0.91
2020,UE15,Zona rural,Aroche,A21008,0.46
2020,UE15,Zona rural,Arroyomolinos de León,A21009,0.0
2020,UE15,Zona de densidad intermedia,Ayamonte,A21010,7.08
2020,UE15,Zona rural,Beas,A21011,0.32
2020,UE15,Zona rural,Berrocal,A21012,1.65
2020,UE15,Zona de densidad intermedia,Bollullos Par del Condado,A21013,0.26
2020,UE15,Zona de densidad intermedia,Bonares,A21014,0.81
2020,UE15,Zona rural,Cabezas Rubias,A21015,0.57
2020,UE15,Zona rural,Cala,A21016,0.35
2020,UE15,Zona rural,Calañas,A21017,0.11
2020,UE15,Zona rural,"Campillo, El",A21018,0.2
2020,UE15,Zona rural,Campofrío,A21019,0.14
2020,UE15,Zona rural,Cañaveral de León,A21020,0.76
2020,UE15,Zona de densidad intermedia,Cartaya,A21021,0.93
2020,UE15,Zona rural,Castaño del Robledo,A21022,6.14
2020,UE15,Zona rural,"Cerro de Andévalo, El",A21023,0.47
2020,UE15,Zona rural,Corteconcepción,A21024,1.68
2020,UE15,Zona rural,Cortegana,A21025,0.65
2020,UE15,Zona rural,Cortelazor,A21026,3.34
2020,UE15,Zona rural,Cumbres de Enmedio,A21027,0.0
2020,UE15,Zona rural,Cumbres de San Bartolomé,A21028,0.27
2020,UE15,Zona rural,Cumbres Mayores,A21029,0.17
2020,UE15,Zona rural,Chucena,A21030,0.0
2020,UE15,Zona rural,Encinasola,A21031,0.84
2020,UE15,Zona de densidad intermedia,Escacena del Campo,A21032,0.09
2020,UE15,Zona rural,Fuenteheridos,A21033,2.54
2020,UE15,Zona rural,Galaroza,A21034,1.37
2020,UE15,Zona de densidad intermedia,Gibraleón,A21035,0.47
2020,UE15,Zona rural,"Granada de Río-Tinto, La",A21036,0.41
2020,UE15,Zona rural,"Granado, El",A21037,2.26
2020,UE15,Zona rural,Higuera de la Sierra,A21038,0.46
2020,UE15,Zona rural,Hinojales,A21039,0.0
2020,UE15,Zona rural,Hinojos,A21040,0.81
2020,UE15,Ciudades,Huelva,A21041,0.28
2020,UE15,Zona de densidad intermedia,Isla Cristina,A21042,0.64
2020,UE15,Zona rural,Jabugo,A21043,1.15
2020,UE15,Zona de densidad intermedia,Lepe,A21044,0.91
2020,UE15,Zona rural,Linares de la Sierra,A21045,2.67
2020,UE15,Zona rural,Lucena del Puerto,A21046,0.25
2020,UE15,Zona rural,Manzanilla,A21047,0.19
2020,UE15,Zona rural,"Marines, Los",A21048,4.01
2020,UE15,Zona rural,Minas de Riotinto,A21049,0.1
2020,UE15,Zona de densidad intermedia,Moguer,A21050,0.25
2020,UE15,Zona rural,"Nava, La",A21051,0.39
2020,UE15,Zona rural,Nerva,A21052,0.12
2020,UE15,Zona rural,Niebla,A21053,0.58
2020,UE15,Zona de densidad intermedia,"Palma del Condado, La",A21054,0.5
2020,UE15,Zona de densidad intermedia,Palos de la Frontera,A21055,0.4
2020,UE15,Zona de densidad intermedia,Paterna del Campo,A21056,0.06
2020,UE15,Zona rural,Paymogo,A21057,1.2
2020,UE15,Zona rural,Puebla de Guzmán,A21058,0.36
2020,UE15,Zona rural,Puerto Moral,A21059,0.0
2020,UE15,Zona de densidad intermedia,Punta Umbría,A21060,0.7
